round,train_loss,test_acc,num_malicious,attack_ratio,current_budget,alpha_feasible,adaptive_scales,selected_A,selected_R,selected_CV,selected_feasible,selected_budget_ratio,selected_guidance_alignment,max_feasible_A,final_front_size,final_feasible_count
43,1.155,51.940,5,0.2,529.821228,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.414,0.858,0.0000,True,0.000781,1.000000,0.597,10,10
44,1.112,56.710,2,0.08,633.127563,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.495,0.878,0.0000,True,0.000781,1.000000,0.671,10,10
45,1.145,58.830,4,0.16,600.245239,0.000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.009,0.858,0.0000,True,0.148123,0.000097,0.016,10,10
46,1.097,60.820,4,0.16,716.171570,0.000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.016,0.855,0.0000,True,0.155928,0.000145,0.041,10,10
47,1.077,59.770,2,0.08,520.532898,0.000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.046,0.870,0.0000,True,0.149159,0.000593,0.133,10,10
48,1.069,51.880,7,0.28,632.270874,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.494,0.866,0.0000,True,0.000781,1.000000,0.703,10,10
49,1.057,10.000,5,0.2,663.964905,0.000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.058,0.826,0.0000,True,0.174105,0.000499,0.084,10,10
50,1.029,10.000,3,0.12,691.461182,0.000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.027,0.836,0.0000,True,0.171949,0.000226,0.045,10,10
51,1.005,57.070,3,0.12,539.743225,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.527,0.903,0.0000,True,0.000977,1.000000,0.587,10,10
52,1.031,63.550,8,0.32,869.592407,0.000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.030,0.890,0.0000,True,0.108438,0.000318,0.080,10,10
53,1.016,10.000,7,0.28,673.560547,0.000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.105,0.791,0.0000,True,0.238999,0.000652,0.256,10,10
54,1.003,62.280,6,0.24,668.244141,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.653,0.887,0.0000,True,0.000977,1.000000,0.891,10,10
55,0.978,62.120,5,0.2,536.232849,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.419,0.891,0.0000,True,0.000781,1.000000,0.613,10,10
