round,candidate_id,selected,effect_loss_before,effect_loss_after,delta_loss,effect_acc_before,effect_acc_after,delta_acc,A,norm,alignment,R,CV,radial_ratio,sign_ratio,feasible
0,0,False,0.01796671189367771,0.01800311729311943,3.6405399441719055e-05,11.328125,9.375,-1.953125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
0,5,False,0.01796671189367771,nan,nan,11.328125,10.15625,-1.171875,0.8249580264091492,631.7080688476562,0.0013059165571749208,0.9330832958221436,0.0,0.063802070915699,0.08790120482444763,True
0,3,False,0.01796671189367771,nan,nan,11.328125,10.15625,-1.171875,1.0605930089950562,790.6424560546875,0.0013414317453658308,0.9167356491088867,0.0,0.0798543319106102,0.11345501989126205,True
0,2,True,0.01796671189367771,0.021992516703903675,0.004025804810225964,11.328125,10.15625,-1.171875,12.146678924560547,12.146683692932129,1.0000000785131433,0.9159634113311768,0.0,0.0012268065474927425,0.3327276110649109,True
0,9,False,0.01796671189367771,nan,nan,11.328125,10.15625,-1.171875,12.506389617919922,689.8328857421875,0.018129593233967622,0.8728575706481934,0.0,0.06967263668775558,0.33539581298828125,True
0,8,False,0.01796671189367771,nan,nan,11.328125,10.15625,-1.171875,12.521108627319336,724.6517944335938,0.017278796010509828,0.8704389333724976,0.0,0.07318932563066483,0.3374122083187103,True
0,7,False,0.01796671189367771,0.031208377331495285,0.013241665437817574,11.328125,10.15625,-1.171875,18.54532241821289,361.096435546875,0.05135836467099512,0.8565845489501953,0.0,0.03647048771381378,0.5621871948242188,True
0,6,False,0.01796671189367771,0.04559488594532013,0.027628174051642418,11.328125,10.15625,-1.171875,24.293357849121094,24.29336929321289,1.0,0.8518521189689636,0.0,0.0024536133278161287,0.7842758297920227,True
0,4,False,0.01796671189367771,0.04654349200427532,0.02857678011059761,11.328125,10.15625,-1.171875,24.50497817993164,500.08343505859375,0.0490017870553095,0.820601224899292,0.0,0.050508078187704086,0.7922340631484985,True
0,1,False,0.01796671189367771,0.06975263357162476,0.051785921677947044,11.328125,10.15625,-1.171875,30.429630279541016,386.0897216796875,0.07881492923938464,0.8083170652389526,0.0,0.038994792848825455,0.9999457597732544,True
20,0,False,1.745758056640625,0.011908598709851503,-1.7338494579307735,13.28125,45.3125,32.03125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
20,3,False,1.745758056640625,0.011507646646350622,-1.7342504099942744,13.28125,46.875,33.59375,0.28733029961586,0.2873305380344391,1.0000001037213886,0.9802512526512146,0.0,0.001835632254369557,0.0588529109954834,True
20,2,False,1.745758056640625,0.011550897732377052,-1.734207158908248,13.28125,47.265625,33.984375,0.29027146100997925,13.58502197265625,0.02136701305194382,0.9231610298156738,0.0,0.08678891509771347,0.0761953666806221,True
20,6,False,1.745758056640625,0.1025082878768444,-1.6432497687637806,13.28125,16.796875,3.515625,0.5939682722091675,20.108394622802734,0.02953832383693191,0.8560324907302856,0.0,0.1284639537334442,0.25663378834724426,True
20,8,False,1.745758056640625,0.10357996821403503,-1.64217808842659,13.28125,16.796875,3.515625,0.595768928527832,20.41864585876465,0.029177684624115772,0.8559503555297852,0.0,0.13044601678848267,0.2521321475505829,True
20,4,True,1.745758056640625,3.018544912338257,1.2727868556976318,13.28125,13.28125,0.0,1.14932119846344,1.1493221521377563,1.0000001037213886,0.8550193309783936,0.0,0.007342529017478228,0.7252203226089478,True
20,5,False,1.745758056640625,3.0537298917770386,1.3079718351364136,13.28125,13.28125,0.0,1.1508656740188599,5.551722526550293,0.20729886764410574,0.8344506025314331,0.0,0.035467587411403656,0.7486879825592041,True
20,9,False,1.745758056640625,3.5100406408309937,1.7642825841903687,13.28125,13.28125,0.0,1.1921324729919434,35.86737060546875,0.033237241896125425,0.7305178642272949,0.0,0.22914133965969086,0.771788477897644,True
20,7,False,1.745758056640625,1.6162325143814087,-0.1295255422592163,13.28125,13.28125,0.0,1.5201739072799683,45.216156005859375,0.03362014911402409,0.6839627623558044,0.0,0.28886672854423523,0.99945068359375,True
20,1,False,1.745758056640625,1.6075089573860168,-0.13824909925460815,13.28125,13.28125,0.0,1.5240226984024048,45.72736740112305,0.03332846701323208,0.6829159259796143,0.0,0.2921326458454132,0.9963310956954956,True
40,0,False,0.09352308884263039,0.00855169165879488,-0.0849713971838355,29.6875,63.28125,33.59375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
40,2,False,0.09352308884263039,0.008636415004730225,-0.08488667383790016,29.6875,64.0625,34.375,0.16582392156124115,0.16582413017749786,1.0000000898612353,0.9836787581443787,0.0,0.00022125247051008046,0.05099566653370857,True
40,6,False,0.09352308884263039,0.008705503772944212,-0.08481758506968617,29.6875,63.671875,33.984375,0.17591515183448792,44.90719223022461,0.003917303961697399,0.9245404005050659,0.0,0.059917859733104706,0.1277996152639389,True
40,3,False,0.09352308884263039,0.00869889184832573,-0.08482419699430466,29.6875,62.109375,32.421875,0.1760571002960205,69.77253723144531,0.002523301672643191,0.9024216532707214,0.0,0.09309469163417816,0.13947489857673645,True
40,5,False,0.09352308884263039,0.010611402802169323,-0.08291168604046106,29.6875,58.984375,29.296875,0.35813483595848083,64.2253646850586,0.005576221134977804,0.8646039962768555,0.0,0.08569332212209702,0.3303689658641815,True
40,7,False,0.09352308884263039,0.010661300271749496,-0.08286178857088089,29.6875,58.59375,28.90625,0.36185774207115173,69.51171875,0.005205707169543762,0.8612151145935059,0.0,0.09274668991565704,0.32732462882995605,True
40,4,True,0.09352308884263039,0.12380081042647362,0.03027772158384323,29.6875,30.078125,0.390625,0.6632956862449646,0.6632965207099915,1.0000000898612353,0.856387734413147,0.0,0.0008850098820403218,0.7515233755111694,True
40,8,False,0.09352308884263039,0.4685213416814804,0.37499825283885,29.6875,21.484375,-8.203125,0.8341131210327148,24.621763229370117,0.03387706209555504,0.8127206563949585,0.0,0.03285182639956474,0.9929226636886597,True
40,9,False,0.09352308884263039,0.9931599497795105,0.8996368609368801,29.6875,21.09375,-8.59375,0.9594274163246155,86.74710845947266,0.011060049997726496,0.7660394906997681,0.0,0.11574317514896393,0.9778823256492615,True
40,1,False,0.09352308884263039,0.9884540438652039,0.8949309550225735,29.6875,21.09375,-8.59375,0.9627270698547363,89.91800689697266,0.010706720309631993,0.7634162306785583,0.0,0.11997397989034653,0.9821887612342834,True
59,0,False,0.009091860614717007,0.006653501186519861,-0.0024383594281971455,58.203125,67.96875,9.765625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
