round,objective_mode,selection_mode,alpha_feasible,delta_loss,delta_acc,A,norm,alignment,R,CV,radial_ratio,sign_ratio,feasible,initial_population_equal
0,dual,balanced_knee,0.0030670166015625,0.012869744561612606,-1.171875,18.220016479492188,18.22780418395996,0.9995730707690659,0.8784521818161011,0.0,0.0018409955082461238,0.5648682117462158,True,True
0,a_only,a_only,0.0030670166015625,nan,-1.171875,30.524826049804688,1082.20068359375,0.028206254551408242,0.7676485776901245,0.0,0.10930151492357254,0.9999621510505676,True,True
20,dual,balanced_knee,0.00917816162109375,1.272794485092163,0.0,1.1493204832077026,1.1493809223175049,0.9999483493896205,0.8550178408622742,0.0,0.007342904340475798,0.7252315282821655,True,True
20,a_only,a_only,0.00917816162109375,7.224272727966309,0.0,1.461850881576538,42.04839324951172,0.0347659125449276,0.692200779914856,0.0,0.268629252910614,0.9996094703674316,True,True
40,dual,balanced_knee,0.00110626220703125,0.03027103841304779,0.390625,0.6632954478263855,0.6642113924026489,0.9986225299539162,0.8563870787620544,0.0,0.0008862305548973382,0.7515220046043396,True,True
40,a_only,a_only,0.00110626220703125,0.3732847087085247,-8.984375,0.8580069541931152,114.15616607666016,0.007516081722876194,0.7461460828781128,0.0,0.1523139774799347,0.9888628721237183,True,True
59,dual,balanced_knee,0.0003814697265625,-0.00031360797584056854,2.734375,0.5612057447433472,0.571072518825531,0.982723319166764,0.858712375164032,0.0,0.0003105408977717161,0.7338294386863708,True,True
59,a_only,a_only,0.0003814697265625,0.02879211213439703,-15.234375,0.7182391881942749,225.75912475585938,0.0031814395549108333,0.7611868381500244,0.0,0.12276452034711838,0.9910682439804077,True,True
