"line_no","round","category","event","numeric_index","numeric_value","sanitized_text"
"84","8","MOS-Core","Gen 30/100:","1","30","[MOS-Core] Gen 30/100:"
"84","8","MOS-Core","Gen 30/100:","2","100","[MOS-Core] Gen 30/100:"
"85","8","general","Stealth: mean=0.586, best=1.000","1","0.586","Stealth: mean=0.586, best=1.000"
"85","8","general","Stealth: mean=0.586, best=1.000","2","1.000","Stealth: mean=0.586, best=1.000"
"86","8","general","Destructiveness: mean=304744270659584.000, best=896764139798528.000","1","304744270659584.000","Destructiveness: mean=304744270659584.000, best=896764139798528.000"
"86","8","general","Destructiveness: mean=304744270659584.000, best=896764139798528.000","2","896764139798528.000","Destructiveness: mean=304744270659584.000, best=896764139798528.000"
"87","8","general","CV: mean=1406400331776.0000, min=0.0000","1","1406400331776.0000","CV: mean=1406400331776.0000, min=0.0000"
"87","8","general","CV: mean=1406400331776.0000, min=0.0000","2","0.0000","CV: mean=1406400331776.0000, min=0.0000"
"88","8","general","Feasibility: count=2, ratio=20.00%","1","2","Feasibility: count=2, ratio=20.00%"
"88","8","general","Feasibility: count=2, ratio=20.00%","2","20.00","Feasibility: count=2, ratio=20.00%"
"89","8","general","Max feasible destruct: 0.416","1","0.416","Max feasible destruct: 0.416"
"90","8","general","Pareto front size: 10","1","10","Pareto front size: 10"
"91","8","general","Budget ratio: mean=0.357, max=1.000","1","0.357","Budget ratio: mean=0.357, max=1.000"
"91","8","general","Budget ratio: mean=0.357, max=1.000","2","1.000","Budget ratio: mean=0.357, max=1.000"
"92","8","general","Radial: mean_ratio=0.357, max_ratio=1.000, mean_score=0.779","1","0.357","Radial: mean_ratio=0.357, max_ratio=1.000, mean_score=0.779"
"92","8","general","Radial: mean_ratio=0.357, max_ratio=1.000, mean_score=0.779","2","1.000","Radial: mean_ratio=0.357, max_ratio=1.000, mean_score=0.779"
"92","8","general","Radial: mean_ratio=0.357, max_ratio=1.000, mean_score=0.779","3","0.779","Radial: mean_ratio=0.357, max_ratio=1.000, mean_score=0.779"
"93","8","general","Sign: mean_ratio=2812800663552.000, max_ratio=7875383525376.000, mean_score=0.198","1","2812800663552.000","Sign: mean_ratio=2812800663552.000, max_ratio=7875383525376.000, mean_score=0.198"
"93","8","general","Sign: mean_ratio=2812800663552.000, max_ratio=7875383525376.000, mean_score=0.198","2","7875383525376.000","Sign: mean_ratio=2812800663552.000, max_ratio=7875383525376.000, mean_score=0.198"
"93","8","general","Sign: mean_ratio=2812800663552.000, max_ratio=7875383525376.000, mean_score=0.198","3","0.198","Sign: mean_ratio=2812800663552.000, max_ratio=7875383525376.000, mean_score=0.198"
"94","8","MOS-Core","Gen 40/100:","1","40","[MOS-Core] Gen 40/100:"
"94","8","MOS-Core","Gen 40/100:","2","100","[MOS-Core] Gen 40/100:"
"95","8","general","Stealth: mean=0.585, best=1.000","1","0.585","Stealth: mean=0.585, best=1.000"
"95","8","general","Stealth: mean=0.585, best=1.000","2","1.000","Stealth: mean=0.585, best=1.000"
"96","8","general","Destructiveness: mean=305972396425216.000, best=896764139798528.000","1","305972396425216.000","Destructiveness: mean=305972396425216.000, best=896764139798528.000"
"96","8","general","Destructiveness: mean=305972396425216.000, best=896764139798528.000","2","896764139798528.000","Destructiveness: mean=305972396425216.000, best=896764139798528.000"
"97","8","general","CV: mean=1424355491840.0000, min=0.0000","1","1424355491840.0000","CV: mean=1424355491840.0000, min=0.0000"
"97","8","general","CV: mean=1424355491840.0000, min=0.0000","2","0.0000","CV: mean=1424355491840.0000, min=0.0000"
"98","8","general","Feasibility: count=2, ratio=20.00%","1","2","Feasibility: count=2, ratio=20.00%"
"98","8","general","Feasibility: count=2, ratio=20.00%","2","20.00","Feasibility: count=2, ratio=20.00%"
"99","8","general","Max feasible destruct: 0.460","1","0.460","Max feasible destruct: 0.460"
"100","8","general","Pareto front size: 10","1","10","Pareto front size: 10"
"101","8","general","Budget ratio: mean=0.359, max=1.000","1","0.359","Budget ratio: mean=0.359, max=1.000"
"101","8","general","Budget ratio: mean=0.359, max=1.000","2","1.000","Budget ratio: mean=0.359, max=1.000"
"102","8","general","Radial: mean_ratio=0.359, max_ratio=1.000, mean_score=0.778","1","0.359","Radial: mean_ratio=0.359, max_ratio=1.000, mean_score=0.778"
"102","8","general","Radial: mean_ratio=0.359, max_ratio=1.000, mean_score=0.778","2","1.000","Radial: mean_ratio=0.359, max_ratio=1.000, mean_score=0.778"
"102","8","general","Radial: mean_ratio=0.359, max_ratio=1.000, mean_score=0.778","3","0.778","Radial: mean_ratio=0.359, max_ratio=1.000, mean_score=0.778"
"103","8","general","Sign: mean_ratio=2848710983680.000, max_ratio=7875383525376.000, mean_score=0.198","1","2848710983680.000","Sign: mean_ratio=2848710983680.000, max_ratio=7875383525376.000, mean_score=0.198"
"103","8","general","Sign: mean_ratio=2848710983680.000, max_ratio=7875383525376.000, mean_score=0.198","2","7875383525376.000","Sign: mean_ratio=2848710983680.000, max_ratio=7875383525376.000, mean_score=0.198"
"103","8","general","Sign: mean_ratio=2848710983680.000, max_ratio=7875383525376.000, mean_score=0.198","3","0.198","Sign: mean_ratio=2848710983680.000, max_ratio=7875383525376.000, mean_score=0.198"
"104","8","MOS-Core","Gen 50/100:","1","50","[MOS-Core] Gen 50/100:"
"104","8","MOS-Core","Gen 50/100:","2","100","[MOS-Core] Gen 50/100:"
"105","8","general","Stealth: mean=0.581, best=1.000","1","0.581","Stealth: mean=0.581, best=1.000"
"105","8","general","Stealth: mean=0.581, best=1.000","2","1.000","Stealth: mean=0.581, best=1.000"
"106","8","general","Destructiveness: mean=307304977137664.000, best=897189811322880.000","1","307304977137664.000","Destructiveness: mean=307304977137664.000, best=897189811322880.000"
"106","8","general","Destructiveness: mean=307304977137664.000, best=897189811322880.000","2","897189811322880.000","Destructiveness: mean=307304977137664.000, best=897189811322880.000"
"107","8","general","CV: mean=1426424332288.0000, min=0.0000","1","1426424332288.0000","CV: mean=1426424332288.0000, min=0.0000"
"107","8","general","CV: mean=1426424332288.0000, min=0.0000","2","0.0000","CV: mean=1426424332288.0000, min=0.0000"
"108","8","general","Feasibility: count=2, ratio=20.00%","1","2","Feasibility: count=2, ratio=20.00%"
"108","8","general","Feasibility: count=2, ratio=20.00%","2","20.00","Feasibility: count=2, ratio=20.00%"
"109","8","general","Max feasible destruct: 0.792","1","0.792","Max feasible destruct: 0.792"
"110","8","general","Pareto front size: 10","1","10","Pareto front size: 10"
"111","8","general","Budget ratio: mean=0.368, max=1.000","1","0.368","Budget ratio: mean=0.368, max=1.000"
"111","8","general","Budget ratio: mean=0.368, max=1.000","2","1.000","Budget ratio: mean=0.368, max=1.000"
"112","8","general","Radial: mean_ratio=0.368, max_ratio=1.000, mean_score=0.773","1","0.368","Radial: mean_ratio=0.368, max_ratio=1.000, mean_score=0.773"
"112","8","general","Radial: mean_ratio=0.368, max_ratio=1.000, mean_score=0.773","2","1.000","Radial: mean_ratio=0.368, max_ratio=1.000, mean_score=0.773"
"112","8","general","Radial: mean_ratio=0.368, max_ratio=1.000, mean_score=0.773","3","0.773","Radial: mean_ratio=0.368, max_ratio=1.000, mean_score=0.773"
"113","8","general","Sign: mean_ratio=2852848664576.000, max_ratio=7813299961856.000, mean_score=0.196","1","2852848664576.000","Sign: mean_ratio=2852848664576.000, max_ratio=7813299961856.000, mean_score=0.196"
"113","8","general","Sign: mean_ratio=2852848664576.000, max_ratio=7813299961856.000, mean_score=0.196","2","7813299961856.000","Sign: mean_ratio=2852848664576.000, max_ratio=7813299961856.000, mean_score=0.196"
"113","8","general","Sign: mean_ratio=2852848664576.000, max_ratio=7813299961856.000, mean_score=0.196","3","0.196","Sign: mean_ratio=2852848664576.000, max_ratio=7813299961856.000, mean_score=0.196"
"114","8","MOS-Core","Gen 60/100:","1","60","[MOS-Core] Gen 60/100:"
"114","8","MOS-Core","Gen 60/100:","2","100","[MOS-Core] Gen 60/100:"
"115","8","general","Stealth: mean=0.577, best=1.000","1","0.577","Stealth: mean=0.577, best=1.000"
"115","8","general","Stealth: mean=0.577, best=1.000","2","1.000","Stealth: mean=0.577, best=1.000"
"116","8","general","Destructiveness: mean=308949714731008.000, best=897664606535680.000","1","308949714731008.000","Destructiveness: mean=308949714731008.000, best=897664606535680.000"
"116","8","general","Destructiveness: mean=308949714731008.000, best=897664606535680.000","2","897664606535680.000","Destructiveness: mean=308949714731008.000, best=897664606535680.000"
"117","8","general","CV: mean=1431849664512.0000, min=0.0000","1","1431849664512.0000","CV: mean=1431849664512.0000, min=0.0000"
"117","8","general","CV: mean=1431849664512.0000, min=0.0000","2","0.0000","CV: mean=1431849664512.0000, min=0.0000"
"118","8","general","Feasibility: count=2, ratio=20.00%","1","2","Feasibility: count=2, ratio=20.00%"
"118","8","general","Feasibility: count=2, ratio=20.00%","2","20.00","Feasibility: count=2, ratio=20.00%"
"119","8","general","Max feasible destruct: 0.926","1","0.926","Max feasible destruct: 0.926"
"120","8","general","Pareto front size: 10","1","10","Pareto front size: 10"
"121","8","general","Budget ratio: mean=0.376, max=1.000","1","0.376","Budget ratio: mean=0.376, max=1.000"
"121","8","general","Budget ratio: mean=0.376, max=1.000","2","1.000","Budget ratio: mean=0.376, max=1.000"
"122","8","general","Radial: mean_ratio=0.376, max_ratio=1.000, mean_score=0.768","1","0.376","Radial: mean_ratio=0.376, max_ratio=1.000, mean_score=0.768"
"122","8","general","Radial: mean_ratio=0.376, max_ratio=1.000, mean_score=0.768","2","1.000","Radial: mean_ratio=0.376, max_ratio=1.000, mean_score=0.768"
"122","8","general","Radial: mean_ratio=0.376, max_ratio=1.000, mean_score=0.768","3","0.768","Radial: mean_ratio=0.376, max_ratio=1.000, mean_score=0.768"
"123","8","general","Sign: mean_ratio=2863699329024.000, max_ratio=7832585895936.000, mean_score=0.196","1","2863699329024.000","Sign: mean_ratio=2863699329024.000, max_ratio=7832585895936.000, mean_score=0.196"
"123","8","general","Sign: mean_ratio=2863699329024.000, max_ratio=7832585895936.000, mean_score=0.196","2","7832585895936.000","Sign: mean_ratio=2863699329024.000, max_ratio=7832585895936.000, mean_score=0.196"
"123","8","general","Sign: mean_ratio=2863699329024.000, max_ratio=7832585895936.000, mean_score=0.196","3","0.196","Sign: mean_ratio=2863699329024.000, max_ratio=7832585895936.000, mean_score=0.196"
"124","8","MOS-Core","Gen 70/100:","1","70","[MOS-Core] Gen 70/100:"
"124","8","MOS-Core","Gen 70/100:","2","100","[MOS-Core] Gen 70/100:"
"125","8","general","Stealth: mean=0.584, best=1.000","1","0.584","Stealth: mean=0.584, best=1.000"
"125","8","general","Stealth: mean=0.584, best=1.000","2","1.000","Stealth: mean=0.584, best=1.000"
"126","8","general","Destructiveness: mean=307057211211776.000, best=898813644505088.000","1","307057211211776.000","Destructiveness: mean=307057211211776.000, best=898813644505088.000"
"126","8","general","Destructiveness: mean=307057211211776.000, best=898813644505088.000","2","898813644505088.000","Destructiveness: mean=307057211211776.000, best=898813644505088.000"
"127","8","general","CV: mean=1406697996288.0000, min=0.0000","1","1406697996288.0000","CV: mean=1406697996288.0000, min=0.0000"
"127","8","general","CV: mean=1406697996288.0000, min=0.0000","2","0.0000","CV: mean=1406697996288.0000, min=0.0000"
"128","8","general","Feasibility: count=2, ratio=20.00%","1","2","Feasibility: count=2, ratio=20.00%"
"128","8","general","Feasibility: count=2, ratio=20.00%","2","20.00","Feasibility: count=2, ratio=20.00%"
"129","8","general","Max feasible destruct: 0.962","1","0.962","Max feasible destruct: 0.962"
"130","8","general","Pareto front size: 10","1","10","Pareto front size: 10"
"131","8","general","Budget ratio: mean=0.364, max=1.000","1","0.364","Budget ratio: mean=0.364, max=1.000"
"131","8","general","Budget ratio: mean=0.364, max=1.000","2","1.000","Budget ratio: mean=0.364, max=1.000"
"132","8","general","Radial: mean_ratio=0.364, max_ratio=1.000, mean_score=0.778","1","0.364","Radial: mean_ratio=0.364, max_ratio=1.000, mean_score=0.778"
"132","8","general","Radial: mean_ratio=0.364, max_ratio=1.000, mean_score=0.778","2","1.000","Radial: mean_ratio=0.364, max_ratio=1.000, mean_score=0.778"
"132","8","general","Radial: mean_ratio=0.364, max_ratio=1.000, mean_score=0.778","3","0.778","Radial: mean_ratio=0.364, max_ratio=1.000, mean_score=0.778"
"133","8","general","Sign: mean_ratio=2813395992576.000, max_ratio=7799704125440.000, mean_score=0.195","1","2813395992576.000","Sign: mean_ratio=2813395992576.000, max_ratio=7799704125440.000, mean_score=0.195"
"133","8","general","Sign: mean_ratio=2813395992576.000, max_ratio=7799704125440.000, mean_score=0.195","2","7799704125440.000","Sign: mean_ratio=2813395992576.000, max_ratio=7799704125440.000, mean_score=0.195"
"133","8","general","Sign: mean_ratio=2813395992576.000, max_ratio=7799704125440.000, mean_score=0.195","3","0.195","Sign: mean_ratio=2813395992576.000, max_ratio=7799704125440.000, mean_score=0.195"
"134","8","MOS-Core","Gen 80/100:","1","80","[MOS-Core] Gen 80/100:"
"134","8","MOS-Core","Gen 80/100:","2","100","[MOS-Core] Gen 80/100:"
"135","8","general","Stealth: mean=0.578, best=1.000","1","0.578","Stealth: mean=0.578, best=1.000"
"135","8","general","Stealth: mean=0.578, best=1.000","2","1.000","Stealth: mean=0.578, best=1.000"
"136","8","general","Destructiveness: mean=307882146922496.000, best=898880619151360.000","1","307882146922496.000","Destructiveness: mean=307882146922496.000, best=898880619151360.000"
"136","8","general","Destructiveness: mean=307882146922496.000, best=898880619151360.000","2","898880619151360.000","Destructiveness: mean=307882146922496.000, best=898880619151360.000"
"137","8","general","CV: mean=1424370958336.0000, min=0.0000","1","1424370958336.0000","CV: mean=1424370958336.0000, min=0.0000"
"137","8","general","CV: mean=1424370958336.0000, min=0.0000","2","0.0000","CV: mean=1424370958336.0000, min=0.0000"
"138","8","general","Feasibility: count=2, ratio=20.00%","1","2","Feasibility: count=2, ratio=20.00%"
"138","8","general","Feasibility: count=2, ratio=20.00%","2","20.00","Feasibility: count=2, ratio=20.00%"
"139","8","general","Max feasible destruct: 0.987","1","0.987","Max feasible destruct: 0.987"
"140","8","general","Pareto front size: 10","1","10","Pareto front size: 10"
"141","8","general","Budget ratio: mean=0.374, max=1.000","1","0.374","Budget ratio: mean=0.374, max=1.000"
"141","8","general","Budget ratio: mean=0.374, max=1.000","2","1.000","Budget ratio: mean=0.374, max=1.000"
"142","8","general","Radial: mean_ratio=0.374, max_ratio=1.000, mean_score=0.770","1","0.374","Radial: mean_ratio=0.374, max_ratio=1.000, mean_score=0.770"
"142","8","general","Radial: mean_ratio=0.374, max_ratio=1.000, mean_score=0.770","2","1.000","Radial: mean_ratio=0.374, max_ratio=1.000, mean_score=0.770"
"142","8","general","Radial: mean_ratio=0.374, max_ratio=1.000, mean_score=0.770","3","0.770","Radial: mean_ratio=0.374, max_ratio=1.000, mean_score=0.770"
"143","8","general","Sign: mean_ratio=2848741916672.000, max_ratio=7796417888256.000, mean_score=0.195","1","2848741916672.000","Sign: mean_ratio=2848741916672.000, max_ratio=7796417888256.000, mean_score=0.195"
"143","8","general","Sign: mean_ratio=2848741916672.000, max_ratio=7796417888256.000, mean_score=0.195","2","7796417888256.000","Sign: mean_ratio=2848741916672.000, max_ratio=7796417888256.000, mean_score=0.195"
"143","8","general","Sign: mean_ratio=2848741916672.000, max_ratio=7796417888256.000, mean_score=0.195","3","0.195","Sign: mean_ratio=2848741916672.000, max_ratio=7796417888256.000, mean_score=0.195"
"144","8","MOS-Core","Gen 90/100:","1","90","[MOS-Core] Gen 90/100:"
"144","8","MOS-Core","Gen 90/100:","2","100","[MOS-Core] Gen 90/100:"
"145","8","general","Stealth: mean=0.569, best=1.000","1","0.569","Stealth: mean=0.569, best=1.000"
"145","8","general","Stealth: mean=0.569, best=1.000","2","1.000","Stealth: mean=0.569, best=1.000"
"146","8","general","Destructiveness: mean=325054197923840.000, best=899363668754432.000","1","325054197923840.000","Destructiveness: mean=325054197923840.000, best=899363668754432.000"
"146","8","general","Destructiveness: mean=325054197923840.000, best=899363668754432.000","2","899363668754432.000","Destructiveness: mean=325054197923840.000, best=899363668754432.000"
"147","8","general","CV: mean=1495429677056.0000, min=0.0000","1","1495429677056.0000","CV: mean=1495429677056.0000, min=0.0000"
"147","8","general","CV: mean=1495429677056.0000, min=0.0000","2","0.0000","CV: mean=1495429677056.0000, min=0.0000"
"148","8","general","Feasibility: count=2, ratio=20.00%","1","2","Feasibility: count=2, ratio=20.00%"
"148","8","general","Feasibility: count=2, ratio=20.00%","2","20.00","Feasibility: count=2, ratio=20.00%"
"149","8","general","Max feasible destruct: 1.022","1","1.022","Max feasible destruct: 1.022"
"150","8","general","Pareto front size: 10","1","10","Pareto front size: 10"
"151","8","general","Budget ratio: mean=0.403, max=1.000","1","0.403","Budget ratio: mean=0.403, max=1.000"
"151","8","general","Budget ratio: mean=0.403, max=1.000","2","1.000","Budget ratio: mean=0.403, max=1.000"
"152","8","general","Radial: mean_ratio=0.403, max_ratio=1.000, mean_score=0.757","1","0.403","Radial: mean_ratio=0.403, max_ratio=1.000, mean_score=0.757"
"152","8","general","Radial: mean_ratio=0.403, max_ratio=1.000, mean_score=0.757","2","1.000","Radial: mean_ratio=0.403, max_ratio=1.000, mean_score=0.757"
"152","8","general","Radial: mean_ratio=0.403, max_ratio=1.000, mean_score=0.757","3","0.757","Radial: mean_ratio=0.403, max_ratio=1.000, mean_score=0.757"
"153","8","general","Sign: mean_ratio=2990859354112.000, max_ratio=7803989655552.000, mean_score=0.194","1","2990859354112.000","Sign: mean_ratio=2990859354112.000, max_ratio=7803989655552.000, mean_score=0.194"
"153","8","general","Sign: mean_ratio=2990859354112.000, max_ratio=7803989655552.000, mean_score=0.194","2","7803989655552.000","Sign: mean_ratio=2990859354112.000, max_ratio=7803989655552.000, mean_score=0.194"
"153","8","general","Sign: mean_ratio=2990859354112.000, max_ratio=7803989655552.000, mean_score=0.194","3","0.194","Sign: mean_ratio=2990859354112.000, max_ratio=7803989655552.000, mean_score=0.194"
"154","8","MOS-Core","Gen 100/100:","1","100","[MOS-Core] Gen 100/100:"
"154","8","MOS-Core","Gen 100/100:","2","100","[MOS-Core] Gen 100/100:"
"155","8","general","Stealth: mean=0.567, best=1.000","1","0.567","Stealth: mean=0.567, best=1.000"
"155","8","general","Stealth: mean=0.567, best=1.000","2","1.000","Stealth: mean=0.567, best=1.000"
"156","8","general","Destructiveness: mean=324965614223360.000, best=899693173276672.000","1","324965614223360.000","Destructiveness: mean=324965614223360.000, best=899693173276672.000"
"156","8","general","Destructiveness: mean=324965614223360.000, best=899693173276672.000","2","899693173276672.000","Destructiveness: mean=324965614223360.000, best=899693173276672.000"
"157","8","general","CV: mean=1496087920640.0000, min=0.0000","1","1496087920640.0000","CV: mean=1496087920640.0000, min=0.0000"
"157","8","general","CV: mean=1496087920640.0000, min=0.0000","2","0.0000","CV: mean=1496087920640.0000, min=0.0000"
"158","8","general","Feasibility: count=2, ratio=20.00%","1","2","Feasibility: count=2, ratio=20.00%"
"158","8","general","Feasibility: count=2, ratio=20.00%","2","20.00","Feasibility: count=2, ratio=20.00%"
"159","8","general","Max feasible destruct: 1.307","1","1.307","Max feasible destruct: 1.307"
"160","8","general","Pareto front size: 10","1","10","Pareto front size: 10"
"161","8","general","Budget ratio: mean=0.407, max=1.000","1","0.407","Budget ratio: mean=0.407, max=1.000"
"161","8","general","Budget ratio: mean=0.407, max=1.000","2","1.000","Budget ratio: mean=0.407, max=1.000"
"162","8","general","Radial: mean_ratio=0.407, max_ratio=1.000, mean_score=0.753","1","0.407","Radial: mean_ratio=0.407, max_ratio=1.000, mean_score=0.753"
"162","8","general","Radial: mean_ratio=0.407, max_ratio=1.000, mean_score=0.753","2","1.000","Radial: mean_ratio=0.407, max_ratio=1.000, mean_score=0.753"
"162","8","general","Radial: mean_ratio=0.407, max_ratio=1.000, mean_score=0.753","3","0.753","Radial: mean_ratio=0.407, max_ratio=1.000, mean_score=0.753"
"163","8","general","Sign: mean_ratio=2992175841280.000, max_ratio=7768515280896.000, mean_score=0.194","1","2992175841280.000","Sign: mean_ratio=2992175841280.000, max_ratio=7768515280896.000, mean_score=0.194"
"163","8","general","Sign: mean_ratio=2992175841280.000, max_ratio=7768515280896.000, mean_score=0.194","2","7768515280896.000","Sign: mean_ratio=2992175841280.000, max_ratio=7768515280896.000, mean_score=0.194"
"163","8","general","Sign: mean_ratio=2992175841280.000, max_ratio=7768515280896.000, mean_score=0.194","3","0.194","Sign: mean_ratio=2992175841280.000, max_ratio=7768515280896.000, mean_score=0.194"
"164","8","MOS-Core","Selecting final solution...",,,"[MOS-Core] Selecting final solution..."
"165","8","MOS-Core","Selection parameters:",,,"[MOS-Core] Selection parameters:"
"166","8","general","Lambda_s (stealth weight): 0.50","1","0.50","Lambda_s (stealth weight): 0.50"
"167","8","general","Lambda_a (attack weight): 0.50","1","0.50","Lambda_a (attack weight): 0.50"
"168","8","general","Attack floor ratio: 89969317327667.2031","1","89969317327667.2031","Attack floor ratio: 89969317327667.2031"
"169","8","MOS-Core","Pareto front summary:",,,"[MOS-Core] Pareto front summary:"
"170","8","general","Front size: 10","1","10","Front size: 10"
"171","8","general","Stealth range: [0.333, 1.000]","1","0.333","Stealth range: [0.333, 1.000]"
"171","8","general","Stealth range: [0.333, 1.000]","2","1.000","Stealth range: [0.333, 1.000]"
"172","8","general","Destructiveness range: [0.000, 899693173276672.000]","1","0.000","Destructiveness range: [0.000, 899693173276672.000]"
"172","8","general","Destructiveness range: [0.000, 899693173276672.000]","2","899693173276672.000","Destructiveness range: [0.000, 899693173276672.000]"
"173","8","general","Candidates after attack floor: 6","1","6","Candidates after attack floor: 6"
"174","8","MOS-Core","Selected solution (index=6):","1","6","[MOS-Core] Selected solution (index=6):"
"175","8","MOS-Core","Constraint pass score (R): 0.356","1","0.356","[MOS-Core]   Constraint pass score (R): 0.356"
"176","8","MOS-Core","Destructiveness (A): 793492657799168.000","1","793492657799168.000","[MOS-Core]   Destructiveness (A): 793492657799168.000"
"177","8","MOS-Core","Total CV: 3884257640448.0000","1","3884257640448.0000","[MOS-Core]   Total CV: 3884257640448.0000"
"178","8","MOS-Core","Deviation norm: 808928434716672.0000","1","808928434716672.0000","[MOS-Core]   Deviation norm: 808928434716672.0000"
"179","8","MOS-Core","Budget usage: 87.45%","1","87.45","[MOS-Core]   Budget usage: 87.45%"
"180","8","MOS-Core","selection_mode=balanced_knee",,,"[MOS-Core] selection_mode=balanced_knee"
"181","8","MOS-Core","selected_budget_ratio=0.874491","1","0.874491","[MOS-Core] selected_budget_ratio=0.874491"
"182","8","MOS-Core","selected_stealth=0.355652","1","0.355652","[MOS-Core] selected_stealth=0.355652"
"183","8","MOS-Core","selected_destructiveness=793492657799168.000000","1","793492657799168.000000","[MOS-Core] selected_destructiveness=793492657799168.000000"
"184","8","MOS-Core","selected_R=0.355652","1","0.355652","[MOS-Core] selected_R=0.355652"
"185","8","MOS-Core","selected_A=793492657799168.000000","1","793492657799168.000000","[MOS-Core] selected_A=793492657799168.000000"
"186","8","MOS-Core","selected_cv=3884257640448.000000","1","3884257640448.000000","[MOS-Core] selected_cv=3884257640448.000000"
"187","8","MOS-Core","selected_feasible=False",,,"[MOS-Core] selected_feasible=False"
"188","8","MOS-Core","selected_guidance_alignment=0.980923","1","0.980923","[MOS-Core] selected_guidance_alignment=0.980923"
"189","8","MOS-Core","Per-constraint details:",,,"[MOS-Core] Per-constraint details:"
"190","8","MOS-Core","Radial: score=0.533, ratio=0.874, loss=808928439480700.0000, threshold=925027708960768.0000","1","0.533","[MOS-Core]   Radial: score=0.533, ratio=0.874, loss=808928439480700.0000, threshold=925027708960768.0000"
"190","8","MOS-Core","Radial: score=0.533, ratio=0.874, loss=808928439480700.0000, threshold=925027708960768.0000","2","0.874","[MOS-Core]   Radial: score=0.533, ratio=0.874, loss=808928439480700.0000, threshold=925027708960768.0000"
"190","8","MOS-Core","Radial: score=0.533, ratio=0.874, loss=808928439480700.0000, threshold=925027708960768.0000","3","808928439480700.0000","[MOS-Core]   Radial: score=0.533, ratio=0.874, loss=808928439480700.0000, threshold=925027708960768.0000"
"190","8","MOS-Core","Radial: score=0.533, ratio=0.874, loss=808928439480700.0000, threshold=925027708960768.0000","4","925027708960768.0000","[MOS-Core]   Radial: score=0.533, ratio=0.874, loss=808928439480700.0000, threshold=925027708960768.0000"
"191","8","MOS-Core","Sign: score=0.000, ratio=7768515280896.000, loss=19806724212243.6445, threshold=2.5496","1","0.000","[MOS-Core]   Sign: score=0.000, ratio=7768515280896.000, loss=19806724212243.6445, threshold=2.5496"
"191","8","MOS-Core","Sign: score=0.000, ratio=7768515280896.000, loss=19806724212243.6445, threshold=2.5496","2","7768515280896.000","[MOS-Core]   Sign: score=0.000, ratio=7768515280896.000, loss=19806724212243.6445, threshold=2.5496"
"191","8","MOS-Core","Sign: score=0.000, ratio=7768515280896.000, loss=19806724212243.6445, threshold=2.5496","3","19806724212243.6445","[MOS-Core]   Sign: score=0.000, ratio=7768515280896.000, loss=19806724212243.6445, threshold=2.5496"
"191","8","MOS-Core","Sign: score=0.000, ratio=7768515280896.000, loss=19806724212243.6445, threshold=2.5496","4","2.5496","[MOS-Core]   Sign: score=0.000, ratio=7768515280896.000, loss=19806724212243.6445, threshold=2.5496"
"192","8","phase","attack",,,"attack"
"193","8","phase","defend",,,"defend"
"194","8","FiniteAudit","round=8 defense=multi_krum selected_count=3 selected_malicious_count=1 selected_updates_finite=True selected_indices=[15, 16, 4]","1","8","[FiniteAudit] round=8 defense=multi_krum selected_count=3 selected_malicious_count=1 selected_updates_finite=True selected_indices=[15, 16, 4]"
"194","8","FiniteAudit","round=8 defense=multi_krum selected_count=3 selected_malicious_count=1 selected_updates_finite=True selected_indices=[15, 16, 4]","2","3","[FiniteAudit] round=8 defense=multi_krum selected_count=3 selected_malicious_count=1 selected_updates_finite=True selected_indices=[15, 16, 4]"
"194","8","FiniteAudit","round=8 defense=multi_krum selected_count=3 selected_malicious_count=1 selected_updates_finite=True selected_indices=[15, 16, 4]","3","1","[FiniteAudit] round=8 defense=multi_krum selected_count=3 selected_malicious_count=1 selected_updates_finite=True selected_indices=[15, 16, 4]"
"194","8","FiniteAudit","round=8 defense=multi_krum selected_count=3 selected_malicious_count=1 selected_updates_finite=True selected_indices=[15, 16, 4]","4","15","[FiniteAudit] round=8 defense=multi_krum selected_count=3 selected_malicious_count=1 selected_updates_finite=True selected_indices=[15, 16, 4]"
"194","8","FiniteAudit","round=8 defense=multi_krum selected_count=3 selected_malicious_count=1 selected_updates_finite=True selected_indices=[15, 16, 4]","5","16","[FiniteAudit] round=8 defense=multi_krum selected_count=3 selected_malicious_count=1 selected_updates_finite=True selected_indices=[15, 16, 4]"
"194","8","FiniteAudit","round=8 defense=multi_krum selected_count=3 selected_malicious_count=1 selected_updates_finite=True selected_indices=[15, 16, 4]","6","4","[FiniteAudit] round=8 defense=multi_krum selected_count=3 selected_malicious_count=1 selected_updates_finite=True selected_indices=[15, 16, 4]"
"195","8","FiniteAudit","round=8 global_pre_finite=True benign_updates_finite=True malicious_updates_finite=True attack_budget_output_finite=True aggregate_input_finite=True aggregate_output_finite=True global_post_finite=True first_bad_stage=none rejected=False rollback=False","1","8","[FiniteAudit] round=8 global_pre_finite=True benign_updates_finite=True malicious_updates_finite=True attack_budget_output_finite=True aggregate_input_finite=True aggregate_output_finite=True global_post_finite=True first_bad_stage=none rejected=False rollback=False"
"196","8","training","t   8: train_loss = 31780.356, test_acc = 10.000","1","8","t   8: train_loss = 31780.356, test_acc = 10.000"
"196","8","training","t   8: train_loss = 31780.356, test_acc = 10.000","2","31780.356","t   8: train_loss = 31780.356, test_acc = 10.000"
