"line_no","round","category","event","numeric_index","numeric_value","sanitized_text"
"36","8","MOS-Boundary","alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07","3","0","[MOS-Boundary] alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07"
"36","8","MOS-Boundary","alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07","4","1","[MOS-Boundary] alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07"
"36","8","MOS-Boundary","alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07","5","0","[MOS-Boundary] alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07"
"36","8","MOS-Boundary","alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07","6","0","[MOS-Boundary] alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07"
"36","8","MOS-Boundary","alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07","7","1","[MOS-Boundary] alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07"
"36","8","MOS-Boundary","alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07","8","0","[MOS-Boundary] alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07"
"36","8","MOS-Boundary","alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07","9","7.6294e-06","[MOS-Boundary] alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07"
"36","8","MOS-Boundary","alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07","10","0.999992","[MOS-Boundary] alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07"
"36","8","MOS-Boundary","alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07","11","0","[MOS-Boundary] alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07"
"36","8","MOS-Boundary","alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07","12","6.43243e+07","[MOS-Boundary] alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07"
"36","8","MOS-Boundary","alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07","13","1.55462e-08","[MOS-Boundary] alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07"
"36","8","MOS-Boundary","alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07","14","6.43243e+07","[MOS-Boundary] alpha_feasible=0.000000 alpha_infeasible=0.000008 limiting_constraint=sign left=radial=0=1=0|sign=0=1=0 right=radial=7.6294e-06=0.999992=0|sign=6.43243e+07=1.55462e-08=6.43243e+07"
"37","8","MOS-Core","adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0.000000","[MOS-Core] adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"37","8","MOS-Core","adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2","0.000000","[MOS-Core] adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"37","8","MOS-Core","adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","3","0.0","[MOS-Core] adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"37","8","MOS-Core","adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","4","0.0","[MOS-Core] adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"37","8","MOS-Core","adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","5","0.0","[MOS-Core] adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"37","8","MOS-Core","adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","6","0.0","[MOS-Core] adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"37","8","MOS-Core","adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","7","0.0","[MOS-Core] adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"37","8","MOS-Core","adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","8","0.0","[MOS-Core] adaptive_guided_init=True alpha_feasible=0.000000 alpha_init=0.000000 scales=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"38","8","MOS-Core","Generated 6 scale-based seeds: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","6","[MOS-Core] Generated 6 scale-based seeds: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
